component	mokee_path	stock_path	mokee_sha256	stock_sha256	abi	static_evidence	disposition	risk	runtime_test
forte-speaker-acdb	system/etc/acdbdata/Forte/Forte_Speaker_cal.acdb	etc/acdbdata/Forte/Forte_Speaker_cal.acdb	f21a85096c7cc2ce6f26fabee9d83469b9b7423be373016a316c163759809413	f21a85096c7cc2ce6f26fabee9d83469b9b7423be373016a316c163759809413	data	Byte-identical	retain-mokee	critical	speaker playback and thermal baseline
dirac-api-32	system/vendor/lib/libDiracAPI_SHARED.so	lib/libDiracAPI_SHARED.so	e811aeaa6e86ac2e6018f74512939ce970f76a41cc4e6060aebda5fb82e15840	e811aeaa6e86ac2e6018f74512939ce970f76a41cc4e6060aebda5fb82e15840	ELF32 ARM	Byte-identical proprietary API library	retain-mokee-first	medium	confirm effect load and controlled bypass comparison
dirac-wrapper-32	system/vendor/lib/soundfx/libdirac.so	lib/soundfx/libdirac.so	0186af59c0ed9432e67297e56bdcf8200ee5310365e94275603bd04ad6004844	c2f1f8a95537584ca800b00e37352572ff9d0930c5d8c255200f5226770b8882	ELF32 ARM	Wrapper differs across Android generations while API library is identical	retain-mokee	critical	AudioFlinger effect chain, crash and A/B output evidence
acdb-fts-32	system/vendor/lib/libacdb-fts.so	vendor/lib/libacdb-fts.so	4b85aea32222c3c2390ba9b0cb57cbe88d7816c49951243fa6e7e2524fa7eebe	8817eba8c6d6a00d7527ff2e72282aa796c93649fbbd617198da5d4dd8cbf9c5	ELF32 ARM	ABI-generation difference	retain-mokee	critical	ACDB startup, linker namespace and denial logs
acdbloader-32	system/vendor/lib/libacdbloader.so	vendor/lib/libacdbloader.so	27428cea8b585078b0d2dd7a8d95f9c1a75b2c7fe198496d3a1cdd41882df7bb	64448e752c99bd22d21820873f899e0acd8fc2bce91189789956ccca42dcd5d9	ELF32 ARM	HAL dynamically loads this name; implementations differ	retain-mokee	critical	loaded maps, ACDB logs and route calibration
acdbmapper-32	system/vendor/lib/libacdbmapper.so	vendor/lib/libacdbmapper.so	e71314c1a2f29d0c6293f2e7b3685e47148dc0223d789a62e80e79b077de1c40	e71314c1a2f29d0c6293f2e7b3685e47148dc0223d789a62e80e79b077de1c40	ELF32 ARM	Byte-identical	retain-mokee	low	loader mapping
acdbrtac-32	system/vendor/lib/libacdbrtac.so	vendor/lib/libacdbrtac.so	cd0d516984ee6a207c73b3d8675af3aebbdfd345e003031f00d8d81517a4c5bd	f3d71949d9b24c77ea16853a0ac581f372ee0d1b759a0ea90f74f99eda88e1fc	ELF32 ARM	ABI-generation difference	retain-mokee	medium	loader mapping and RTAC errors
acdb-fts-64	system/vendor/lib64/libacdb-fts.so	vendor/lib64/libacdb-fts.so	a0a64942b73e5f77a07b53ae32bec40c390c264414ad505a02ad69a636ee5d18	c12d25fb5d2093acd1b61ded99f276c9ff147ddc317f462f2f532523367976cf	ELF64 AArch64	ABI-generation difference	retain-mokee	medium	confirm whether loaded by vendor services
acdbloader-64	system/vendor/lib64/libacdbloader.so	vendor/lib64/libacdbloader.so	10e86104db3d3f89827ba43d7bdbcc8467a501ced454a5c982c8af757707a5ed	2c1e2174b4ae6ab5fedd529d0a36328ea4d4028d64259d704160e1322cba0d55	ELF64 AArch64	ABI-generation difference	retain-mokee	medium	confirm whether loaded by vendor services
acdbmapper-64	system/vendor/lib64/libacdbmapper.so	vendor/lib64/libacdbmapper.so	346bca974a8559a64a73c4d3915e3d531c5fe00043f332e772354ad686acbd9e	52dea4b57be486f6ffcfd8bc976b8ef86730a916dcd67779aec01d576642179b	ELF64 AArch64	ABI-generation difference	retain-mokee	medium	confirm whether loaded by vendor services
acdbrtac-64	system/vendor/lib64/libacdbrtac.so	vendor/lib64/libacdbrtac.so	12d4690e62d8327c8f77119f073e2872787fc126b7ecf143478f2c0fd8d1f03f	a796b8219248b1fc509f09479f1635554a7be98e41d7683cf49fc8b84f59f1d9	ELF64 AArch64	ABI-generation difference	retain-mokee	medium	confirm whether loaded by vendor services
adsprpcd	system/vendor/bin/adsprpcd	bin/adsprpcd	6b10f94b20cc47ac05e5d009be8f8d945a5585bed412e6e20827a12d17d2cdb2	add0ea5838b26bd9d51910fd96d3ebf40ff5072d3ac4f7afc664208eb4cb1520	ELF64 AArch64	Present and started in MoKee; implementation differs	retain-mokee	critical	process, DSP access, linker and SELinux evidence
rfs-access	system/vendor/bin/rfs_access	bin/rfs_access	9ce5e1d10f55a817d55187094def7981a1c2289a6bba3cffa921e6fb25b14c94	2675aa35454746bcb262b9736e9249766df518fcdd35f2645d4505097647d1d1	ELF64 AArch64	Present and started in MoKee; implementation differs	retain-mokee	critical	process, /data/rfs access and SELinux evidence
audiod	absent	bin/audiod	absent	154a046704b30cb1e2234c4b04fde2139a2ca73e3fd1801ae9e560ffafe9e383	ELF64 AArch64	MoKee source tree contains audiod but device product does not package it; policy symbols remain orphaned	baseline-not-required	medium	prove original MoKee audio works without it before considering any import
