component_id	layer	selector	classification	generation2_action	confidence	evidence	failure_if_missing	next_gate
common-acdb	calibration	/system/etc/acdbdata/Forte/Forte_General_cal.acdb;/system/etc/acdbdata/Forte/Forte_Global_cal.acdb	support-retain	preserve-first-build	medium	ACDB-loader-runtime+common-profile-names	loader-init-or-shared-calibration-regression	loader-trace-per-file
speaker-handset-acdb	calibration	/system/etc/acdbdata/Forte/Forte_Speaker_cal.acdb;/system/etc/acdbdata/Forte/Forte_Handset_cal.acdb	conditional-retain	preserve-first-build	high	non-headphone-output-profiles	maintenance-sound-or-fallback-regression	dedicated-SKU-output-policy-decision
bluetooth-hdmi-acdb	calibration	/system/etc/acdbdata/Forte/Forte_Bluetooth_cal.acdb;/system/etc/acdbdata/Forte/Forte_Hdmi_cal.acdb	conditional-retain	remove-after-gate	high	profiles-not-used-by-wired-Spotify	Bluetooth-or-HDMI-audio-unavailable	product-feature-decision
acdb-loader-core	vendor-library	/system/vendor/lib/libacdbloader.so;/system/vendor/lib/libacdb-fts.so;/system/vendor/lib/libacdbrtac.so;/system/vendor/lib/libadm.so;/system/vendor/lib/libadiertac.so;/system/vendor/lib/libaudcal.so	must-retain	extract-stock	high	all-mapped-by-audioserver+HAL-dlopen+calibration-FDs	calibration-init-or-routing-fails	cold-boot+H1+DSP-recovery
tiny-audio-libraries	library	/system/lib/libtinyalsa.so;/system/lib/libtinycompress.so;/system/lib/libaudioroute.so	must-retain	rebuild-source	high	direct-HAL-DT_NEEDED+runtime-mapped	HAL-link-or-PCM-routing-fails	ABI-symbol-check
adsp-firmware	firmware	/firmware/image/adsp.mdt;/firmware/image/adsp.b00-/firmware/image/adsp.b15	must-retain	extract-stock	high	booted-ADSP+firmware-labels+Qualcomm-audio-path	DSP-does-not-boot-or-audio-services-fail	all-segment-hash-check
adsprpc-service	service	/system/bin/adsprpcd;/system/vendor/lib64/libadsprpc.so	support-retain	preserve-first-build	high	running-domain+persistent-/dev/adsprpc-smd-FD	DSP-RPC-clients-may-fail	cold-boot+DSP-subsystem-restart
rfs-support	service	/system/bin/rfs_access;/system/rfs;/persist/rfs;/persist/hlos_rfs	support-retain	preserve-first-build	high	running-domain+persistent-uio1-uio2-uio3-FDs	ADSP-remote-file-access-or-recovery-may-fail	cold-boot+DSP-subsystem-restart
audiod-service	service	/system/bin/audiod;/system/vendor/lib64/libavenhancements.so	support-retain	preserve-first-build	medium	running-domain+Binder-policy+stable-long-socket	vendor-audio-enhancement-or-control-may-fail	trace-Binder-and-ioctl-before-narrowing
alsa-pcm-and-control	kernel-interface	/dev/snd/pcmC0D0p;/dev/snd/controlC0;/dev/snd/hwC0D1000	must-retain	generate-policy	high	H1-open-FD+active-hw_params+H0-after-close	no-PCM-or-mixer-control	H1-H0-after-regression
calibration-devices	kernel-interface	/dev/msm_audio_cal;/dev/msm_rtac	must-retain	generate-policy	high	audioserver-persistent-FDs+audio_device-label	calibration-or-runtime-tuning-fails	cold-boot+H1
hardware-effects-device	kernel-interface	/dev/msm_hweffects	conditional-retain	preserve-first-build	medium	stock-label+HAL-permission-no-open-FD-observed	hardware-effect-path-may-fail	effect-A-B-and-ioctl-trace
ion-shared-memory	kernel-interface	/dev/ion	must-retain	generate-policy	high	audioserver-persistent-FD+SELinux-allow	shared-audio-buffers-fail	H1-open-FD
ess-kernel-dtb	kernel	ES9018-driver+MSM8994-v2.1-MTP-DTB+QUAT-MI2S	must-retain	rebuild-source	high	official-source+live-DTB+runtime-clock-route	ESS-power-I2S-or-GPIO-sequence-fails	kernel-config+DTB+H1-route
audio-init-contract	init	init-audioserver+ADSP-boot+audiod+adsprpcd+rfs_access	must-retain	rebuild-source	high	stock-ramdisk+running-services+domain-transitions	services-or-DSP-not-ready	cold-boot-service-order
audio-DAC-permissions	permissions	ueventd-audio-nodes+audio/media-groups	must-retain	generate-policy	high	stock-ueventd+live-owner-mode	DAC-blocks-device-access	owner-mode-diff
audio-SELinux-contract	SELinux	audioserver+audiod+adsprpcd+rfs_access-domains-and-contexts	must-retain	generate-policy	high	policy-v30+live-labels+zero-H1/H0-after-audio-domain-denials	MAC-blocks-service-or-device-access	Enforcing-cold-boot+AVC-gate
hifi-properties	property	persist.audio.hifi;persist.audio.hifi.volume	must-retain	generate-policy	high	HAL-string-consumer+runtime-route+audio_prop-write	HiFi-selection-or-level-control-fails	property-contract-test
deep-buffer-properties	property	audio.deep_buffer.media;audio_hal.period_size	support-retain	preserve-first-build	high	policy/HAL-consumers+current-deep-buffer-path	latency-buffer-or-path-changes	fixed-track-power-and-underrun-test
offload-properties	property	audio.offload.*	conditional-retain	preserve-first-build	high	HAL-and-policy-consumers+current-Spotify-not-offloaded	future-offload-behavior-changes	offload-controlled-A-B
voice-fluence-properties	property	persist.audio.fluence.*;ro.qc.sdk.audio.*;use.voice.path.for.pcm.voip	out-of-scope	omit-product	high	HAL-strings-bind-to-call-recording-and-microphone-paths	voice-call-or-recording-features-unavailable	dedicated-SKU-confirms-no-mic-no-telephony
dirac-effect	effect	/system/lib/soundfx/libdirac.so;/system/lib/libDiracAPI_SHARED.so	conditional-retain	preserve-first-build	high	mapped-all-states+active-in-H1-effect-chain	frequency-response-or-user-preferred-sound-changes	level-matched-audio-analyzer-A-B
generic-effects	effect	bundle+reverb+visualizer+downmix+loudness+Qualcomm-postproc	conditional-retain	remove-after-gate	medium	libraries-mapped-but-not-active-in-tested-Spotify-session	optional-effects-or-framework-expectations-change	rewrite-audio_effects+Spotify-regression
dolby-declarations	effect	libswdap.so;libhwdap.so;audio.dolby.ds2.*	removal-candidate	remove-after-gate	high	declared-properties-and-config-but-binaries-absent+no-runtime-map	Dolby-feature-remains-unavailable	config-parser+boot+Spotify-test
dts-daemon-declarations	service	/system/bin/dts_configurator;/system/bin/dts_eagle_service	removal-candidate	remove-after-gate	high	init-and-policy-declare-but-binaries-absent+services-not-running	current-dead-declarations-only	build+boot+effect-regression
dts-data	effect	/data/misc/dts	conditional-retain	preserve-first-build	medium	live-directory+mediaserver/system_app-policy	unknown-DTS-or-vendor-effect-state-loss	identify-file-producer-consumer
audio-pp-data	effect	/data/misc/audio_pp	removal-candidate	remove-after-gate	high	path-absent+only-mediaserver/system_app-policy-remains	current-dead-data-contract-only	build+boot+effect-regression
drc-library	recording	/system/vendor/lib/libdrc.so	conditional-retain	remove-after-gate	high	32-bit-HAL-string-ref+5.1/AZ-config-strings+not-runtime-mapped	surround-recording-processing-unavailable	no-recording-product-gate
surround-3mic	recording	/system/vendor/lib/libsurround_3mic_proc.so;/system/etc/surround_sound_3mic/*	conditional-retain	remove-after-gate	high	32-bit-HAL-string-ref+surround-recording-symbols+not-runtime-mapped	surround-recording-unavailable	no-microphone-product-gate
csd-client	telephony	libcsd-client.so	removal-candidate	remove-after-gate	high	HAL-voice-symbols-but-binary-absent-in-both-arches	CSD-voice-call-path-remains-unavailable	no-telephony-product-gate
primary-default-HAL	HAL	/system/lib*/hw/audio.primary.default.so	support-retain	preserve-first-build	medium	stock-fallback-counterpart-not-active-primary	fallback-HAL-unavailable	primary-HAL-failure-test
a2dp-audio	feature	/system/lib*/hw/audio.a2dp.default.so;/system/etc/a2dp_audio_policy_configuration.xml	conditional-retain	remove-after-gate	high	HAL-mapped-by-audioserver+not-used-in-wired-H1	Bluetooth-audio-unavailable	product-feature-decision
usb-audio	feature	/system/lib*/hw/audio.usb.default.so;/system/etc/usb_audio_policy_configuration.xml	conditional-retain	remove-after-gate	high	HAL-mapped-by-audioserver+not-used-in-wired-H1	USB-audio-unavailable	product-feature-decision
remote-submix	feature	/system/lib*/hw/audio.r_submix.default.so;/system/etc/r_submix_audio_policy_configuration.xml	removal-candidate	remove-after-gate	medium	HAL-mapped-but-dedicated-player-has-no-cast/capture-goal	remote-display-or-capture-breaks	no-cast-product-gate
sound-trigger	feature	/system/vendor/lib/hw/sound_trigger.primary.msm8994.so;/system/etc/sound_trigger_*	conditional-retain	remove-after-gate	medium	HAL-mapped+service-contract+not-in-Spotify-output-path	hotword-or-listen-features-unavailable	no-hotword-product-gate
avtimer	kernel-interface	/dev/avtimer	removal-candidate	remove-after-gate	medium	stock-type-but-node-absent+no-audioserver-permission	legacy-radio-timing-feature-may-fail	no-radio-product-gate
qcom-audio-init-script	init	/system/etc/init.qcom.audio.sh;qcom.audio.init	removal-candidate	remove-after-gate	medium	Bluetooth-UCM-script+no-init-invocation-found+property-not-observed	legacy-Bluetooth-UCM-setup-unavailable	boot-script-reference-rescan
miui-audio-device	SELinux	miui_audio_device	conditional-retain	preserve-first-build	low	stock-audioserver-allow-but-no-corresponding-live-node-identified	unknown-MIUI-audio-extension-may-fail	identify-file_context-and-open-FD
Spotify-client	application	com.spotify.music	must-retain	preserve-first-build	high	active-AudioTrack+network-and-offline-user-goal	no-primary-player	user-supplied-APK+login+offline-test
Google-login-support	application	GMS-minimum-login-contract	conditional-retain	preserve-first-build	medium	Spotify-install/login-workflow-requirement-not-audio-hardware	Play-login-or-update-path-may-fail	decide-fixed-APK-versus-Play-delivery
telephony-camera-consumer-apps	application	dialer;messaging;camera;recorder;contacts;themes;store;browser	out-of-scope	omit-product	high	dedicated-player-product-contract	removed-general-purpose-functions	Phase2-maintenance-mode-recovery
